CityPart,MaxFloor,Area,Rooms,Bedrooms,LastFloor,Floor,PRICE (GEL),Status,Electrical Points,Condition,Heating,Natural Gas,Bed,Stove (Gas/Electric),Table,Refrigerator,Chairs,Oven,Air Conditioner,Washing Machine,Sofa,Dishwasher
Saburtaloze,16.0,110.0,3.0,2.0,0.0,13.0,366809.0,Old Constructed,2.0,Old Renovated,Central Heating,1.0,0,0,1,0,0,0,0,0,0,0
Mukhattsqaroshi,8.0,195.0,4.0,3.0,0.0,4.0,1575918.0,Newly Constructed,2.0,Newly Renovated,Central Heating,1.0,0,0,0,0,0,0,0,0,0,0
Avlabarshi,8.0,104.0,3.0,2.0,0.0,3.0,461907.0,Newly Constructed,,Newly Renovated,Central Heating,1.0,0,0,0,0,0,0,0,0,0,0
Saburtaloze,29.0,127.0,3.0,2.0,0.0,28.0,1263452.0,Newly Constructed,2.0,Newly Renovated,Central Heating,1.0,0,0,1,0,0,0,0,0,0,0
Vakeshi,24.0,108.0,3.0,2.0,0.0,7.0,760788.0,Newly Constructed,2.0,Green Frame,Central Heating,1.0,0,0,0,0,0,0,0,0,0,0
Vakeshi,10.0,400.0,10.0,6.0,0.0,9.0,2037825.0,Newly Constructed,3.0,Black Frame,Central Heating,1.0,0,0,0,0,0,0,0,0,0,0
Krtsanisshi,7.0,68.0,3.0,2.0,0.0,6.0,277144.0,Newly Constructed,1.0,Green Frame,,0.0,0,0,0,0,0,0,0,0,0,0
Saburtaloze,6.0,76.0,3.0,2.0,1.0,6.0,97816.0,Old Constructed,1.0,Needs Renovation,,1.0,0,0,0,0,0,0,0,0,0,0
Did Dighomshi,17.0,47.4,2.0,1.0,0.0,10.0,165743.0,Newly Constructed,1.0,White Frame,Central Heating,1.0,0,0,0,0,0,0,0,0,0,0
Veraze,8.0,105.0,4.0,3.0,0.0,5.0,665690.0,Newly Constructed,2.0,Newly Renovated,Central Heating,1.0,0,0,0,0,0,0,0,0,0,0
Krtsanisshi,7.0,55.0,3.0,2.0,0.0,6.0,246577.0,Newly Constructed,1.0,Green Frame,,1.0,0,0,0,0,0,0,0,0,0,0
Krtsanisshi,7.0,68.0,3.0,2.0,1.0,7.0,258668.0,Newly Constructed,1.0,Green Frame,,1.0,0,0,0,0,0,0,0,0,0,0
Saburtaloze,14.0,112.0,4.0,2.0,0.0,13.0,808881.0,Newly Constructed,1.0,Newly Renovated,Central Heating,1.0,0,0,0,0,0,0,0,0,0,0
Nutsubidzis Ferdobze,7.0,123.5,4.0,3.0,0.0,3.0,467341.0,Newly Constructed,1.0,Newly Renovated,Central Heating,1.0,0,0,1,0,0,0,0,0,0,0
Did Dighomshi,14.0,114.0,3.0,2.0,0.0,12.0,334203.0,Newly Constructed,1.0,Newly Renovated,Central Heating,1.0,0,0,1,0,0,0,0,0,0,0
Saburtaloze,8.0,105.0,4.0,3.0,0.0,3.0,434736.0,Newly Constructed,2.0,Newly Renovated,Central Heating,1.0,0,0,1,0,0,0,0,0,0,0
Vakeshi,22.0,136.0,3.0,2.0,0.0,11.0,1766115.0,Newly Constructed,2.0,Newly Renovated,Central Heating,1.0,0,0,1,0,0,0,0,0,0,0
